no,ticker,name,industry_code,industry
1,060310,3S,032902,특수 목적용 기계 제조업
2,054620,APS홀딩스,116409,기타 금융업
3,265520,AP시스템,032902,특수 목적용 기계 제조업
4,211270,AP위성,032604,통신 및 방송 장비 제조업
5,032040,C&S자산관리,147509,기타 사업지원 서비스업
6,130960,CJ E&M,106002,텔레비전 방송업
7,035760,CJ오쇼핑,106002,텔레비전 방송업
8,051500,CJ프레시웨이,074603,음·식료품 및 담배 도매업
9,058820,CMG제약,032102,의약품 제조업
10,023460,CNH,116402,신탁업 및 집합투자업
11,065770,CS,032604,통신 및 방송 장비 제조업
12,083660,CSA 코스믹,032202,플라스틱제품 제조업
13,045890,DB라이텍,032804,전구 및 조명장치 제조업
14,068790,DMS,032902,특수 목적용 기계 제조업
15,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업
16,037370,EG,074607,기타 전문 도매업
17,079190,EMW,032604,통신 및 방송 장비 제조업
18,130500,GH신소재,031309,기타 섬유제품 제조업
19,032860,GMR 머티리얼즈,053803,"해체, 선별 및 원료 재생업"
20,900290,GRT,116409,기타 금융업
21,083450,GST,032902,특수 목적용 기계 제조업
22,028150,GS홈쇼핑,106002,텔레비전 방송업
23,078150,HB테크놀러지,032902,특수 목적용 기계 제조업
24,036640,HRS,032002,합성고무 및 플라스틱 물질 제조업
25,225430,IBKS제3호스팩,116601,금융 지원 서비스업
26,254120,IBKS제5호스팩,116601,금융 지원 서비스업
27,264850,IBKS제6호스팩,116601,금융 지원 서비스업
28,276920,IBKS제7호스팩,116601,금융 지원 서비스업
29,277410,IBKS제8호스팩,116601,금융 지원 서비스업
30,095340,ISC,032602,전자부품 제조업
31,099520,ITX엠투엠,032605,영상 및 음향기기 제조업
32,067290,JW신약,032102,의약품 제조업
33,035900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업
34,024120,KB오토시스,033003,자동차 신품 부품 제조업
35,021320,KCC건설,064101,건물 건설업
36,036670,KCI,032004,기타 화학제품 제조업
37,044180,KD건설,064101,건물 건설업
38,151860,KG ETS,053802,폐기물 처리업
39,046440,KG모빌리언스,105802,소프트웨어 개발 및 공급업
40,035600,KG이니시스,105802,소프트웨어 개발 및 공급업
41,060720,KH바텍,032602,전자부품 제조업
42,083470,KJ프리텍,032202,플라스틱제품 제조업
43,122450,KMH,106002,텔레비전 방송업
44,052900,KMH하이텍,032202,플라스틱제품 제조업
45,058400,KNN,106002,텔레비전 방송업
46,114450,KPX생명과학,032101,기초 의약물질 및 생물학적 제제 제조업
47,036030,KTH,106102,전기 통신업
48,060370,KT서브마린,064203,전기 및 통신 공사업
49,065150,MP그룹,074603,음·식료품 및 담배 도매업
50,219550,MP한강,074604,생활용품 도매업
51,160550,NEW,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
52,053290,NE능률,105801,"서적, 잡지 및 기타 인쇄물 출판업"
53,104200,NHN벅스,106309,기타 정보 서비스업
54,060250,NHN한국사이버결제,106309,기타 정보 서비스업
55,030190,NICE평가정보,106309,기타 정보 서비스업
56,024940,PN풍년,032509,기타 금속 가공제품 제조업
57,218410,RFHIC,032604,통신 및 방송 장비 제조업
58,091340,S&K폴리텍,032602,전자부품 제조업
59,019550,SBI인베스트먼트,116402,신탁업 및 집합투자업
60,950110,SBI핀테크솔루션즈,105802,소프트웨어 개발 및 공급업
61,046140,SBS콘텐츠허브,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
62,036120,SCI평가정보,147509,기타 사업지원 서비스업
63,099220,SDN,074605,기계장비 및 관련 물품 도매업
64,036540,SFA반도체,032601,반도체 제조업
65,255220,SG,032309,기타 비금속 광물제품 제조업
66,040610,SG&G,033003,자동차 신품 부품 제조업
67,049470,SGA,105802,소프트웨어 개발 및 공급업
68,184230,SGA솔루션즈,105802,소프트웨어 개발 및 공급업
69,090730,SIMPAC Metal,032401,1차 철강 제조업
70,232330,SK3호스팩,116601,금융 지원 서비스업
71,057500,SKC 솔믹스,032602,전자부품 제조업
72,178920,SKC코오롱PI,032202,플라스틱제품 제조업
73,036490,SK머티리얼즈,032001,기초 화학물질 제조업
74,052260,SK바이오랜드,032004,기타 화학제품 제조업
75,048550,SM C&C,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
76,089230,THE E&M,106309,기타 정보 서비스업
77,032540,TJ미디어,032605,영상 및 음향기기 제조업
78,048770,TPC,032901,일반 목적용 기계 제조업
79,038340,UCI,032802,일차전지 및 축전지 제조업
80,052300,W홀딩컴퍼니,085209,기타 운송관련 서비스업
81,040300,YTN,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
82,051390,YW,074608,상품 종합 도매업
83,052220,iMBC,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
84,079940,가비아,105802,소프트웨어 개발 및 공급업
85,078890,가온미디어,032604,통신 및 방송 장비 제조업
86,192410,감마누,032604,통신 및 방송 장비 제조업
87,024840,갑을메탈,032402,1차 비철금속 제조업
88,217730,강스템바이오텍,032101,기초 의약물질 및 생물학적 제제 제조업
89,094480,갤럭시아컴즈,105802,소프트웨어 개발 및 공급업
90,063080,게임빌,116409,기타 금융업
91,039240,경남스틸,032401,1차 철강 제조업
92,053950,경남제약,032102,의약품 제조업
93,011040,경동제약,032102,의약품 제조업
94,024910,경창산업,033003,자동차 신품 부품 제조업
