no,ticker,name,industry_code,industry
1,095570,AJ네트웍스,147603,산업용 기계 및 장비 임대업
2,068400,AJ렌터카,147601,운송장비 임대업
3,006840,AK홀딩스,116409,기타 금융업
4,027410,BGF,074701,종합 소매업
5,282330,BGF리테일,074701,종합 소매업
6,138930,BNK금융지주,116409,기타 금융업
7,001460,BYC,031401,봉제의복 제조업
8,001040,CJ,116409,기타 금융업
9,079160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
10,000120,CJ대한통운,084903,도로 화물 운송업
11,011150,CJ씨푸드,031007,기타 식품 제조업
12,097950,CJ제일제당,031007,기타 식품 제조업
13,037560,CJ헬로,106002,텔레비전 방송업
14,000590,CS홀딩스,116409,기타 금융업
15,012030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
16,016610,DB금융투자,116601,금융 지원 서비스업
17,005830,DB손해보험,116501,보험업
18,000990,DB하이텍,032601,반도체 제조업
19,139130,DGB금융지주,116409,기타 금융업
20,004840,DRB동일,116409,기타 금융업
21,155660,DSR,032402,1차 비철금속 제조업
22,069730,DSR제강,032401,1차 철강 제조업
23,017940,E1,074607,기타 전문 도매업
24,007700,F&F,031401,봉제의복 제조업
25,114090,GKL,189102,유원지 및 기타 오락관련 서비스업
26,078930,GS,116409,기타 금융업
27,006360,GS건설,064101,건물 건설업
28,001250,GS글로벌,074608,상품 종합 도매업
29,007070,GS리테일,074701,종합 소매업
30,175330,JB금융지주,116409,기타 금융업
31,234080,JW생명과학,032102,의약품 제조업
32,001060,JW중외제약,032102,의약품 제조업
33,096760,JW홀딩스,116409,기타 금융업
34,105560,KB금융,116409,기타 금융업
35,009440,KC그린홀딩스,116409,기타 금융업
36,119650,KC코트렐,032901,일반 목적용 기계 제조업
37,092220,KEC,032601,반도체 제조업
38,109070,KGP,031702,"골판지, 종이 상자 및 종이용기 제조업"
39,001390,KG케미칼,032001,기초 화학물질 제조업
40,001940,KISCO홀딩스,116409,기타 금융업
41,083420,KPX그린케미칼,032004,기타 화학제품 제조업
42,025000,KPX케미칼,032001,기초 화학물질 제조업
43,092230,KPX홀딩스,116409,기타 금융업
